RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,debt_to_income,total_late_payments,credit_utilization_risk,actual_default,default_probability,credit_score
0.0,39,0,0.412698413,8000.0,7,0,1,0,2.0,3301.5873039999997,0,0,0,0.016793802,604
0.013843976,59,0,0.10267398,5833.0,6,0,0,0,0.0,598.89732534,0,0,0,0.0077900323,626
0.000155035,59,0,0.491822222,11249.0,16,0,3,0,2.0,5532.508175278,0,0,0,0.027439924,590
0.040508242,39,0,95.0,5400.0,11,0,0,0,0.0,513000.0,0,0,0,0.05453861,569
0.257563644,42,0,0.333333333,7400.0,15,0,1,0,1.0,2466.6666642,0,0,0,0.1033395,549
0.566811953,43,0,0.428012693,13550.0,15,0,2,0,4.0,5799.57199015,0,1,0,0.049935624,572
0.134773913,45,0,0.251774823,10000.0,6,0,2,0,6.0,2517.7482299999997,0,0,0,0.01519559,607
0.9999999,50,98,0.0,1350.0,0,98,0,98,0.0,0.0,294,2,1,0.96458334,391
0.094621057,72,0,118.0,5400.0,13,0,0,0,0.0,637200.0,0,0,0,0.032004036,585
0.002903132,30,0,1.911668484,916.0,7,0,1,0,0.0,1751.088331344,0,0,0,0.03242095,585
0.989400353,51,0,0.87424362,3800.0,6,0,2,0,0.0,3322.125756,0,2,0,0.5115243,485
0.260255845,69,0,0.233622731,3800.0,5,0,1,0,0.0,887.7663778,0,0,0,0.01680801,604
0.330920495,45,0,3.013732834,800.0,11,0,2,0,0.0,2410.9862672,0,1,0,0.05116806,571
0.9999999,61,0,0.0,3659.0,0,0,0,1,2.0,0.0,1,2,0,0.35670507,504
0.063629759,75,0,1042.0,5400.0,6,0,1,0,0.0,5626800.0,0,0,0,0.0072096516,629
0.889577288,47,0,0.092590741,10000.0,4,0,0,0,0.0,925.90741,0,2,0,0.24409477,519
0.009124772,62,0,0.002352388,4250.0,1,0,0,0,1.0,9.997649,0,0,0,0.0065190983,632
0.534949046,49,0,0.725689405,6200.0,12,0,2,0,4.0,4499.274311,0,1,0,0.07307225,560
0.658581183,53,0,0.321926625,9321.0,9,0,2,0,0.0,3000.678071625,0,1,0,0.049700137,572
0.171521773,46,0,0.69050476,12500.0,11,0,5,0,2.0,8631.309500000001,0,0,0,0.23066644,521
0.021008224,66,0,44.0,5400.0,11,0,0,0,0.0,237600.0,0,0,0,0.00537593,637
0.161206727,57,0,4806.0,5400.0,10,0,2,0,0.0,25952400.0,0,0,0,0.085620634,555
0.9999999,43,0,0.25214676,1280.0,2,0,0,0,2.0,322.74785280000003,0,2,0,0.26060665,517
0.012012093,72,0,0.669768404,4835.0,13,0,3,0,0.0,3238.33023334,0,0,0,0.023721663,594
0.753549763,47,0,2208.0,5400.0,17,0,2,0,2.0,11923200.0,0,2,0,0.109958336,547
0.23106255,73,0,0.270052539,5709.0,5,0,1,0,0.0,1541.7299451509998,0,0,0,0.045171548,575
0.169241956,26,0,0.005623828,4800.0,5,0,0,0,0.0,26.9943744,0,0,0,0.112714425,546
